"analyte","conv_unit","conv_factor","si_unit","specimen_type"
"11 deoxycortisol","ng/dL",0.02886,"nmol/L","unspecified"
"17 hydroxycorticosteroids","mg/24 h",2.76,"umol/L","unspecified"
"17 hydroxypregnenolone","ng/dL",0.0303,"nmol/L","unspecified"
"17 hydroxyprogesterone","ng/dL",0.0303,"nmol/L","serum"
"17 ketogenic steroids","mg/24 h",3.467,"umol/d","urine"
"18 hydroxycorticosterone","ng/dL",0.0276,"nmol/L","unspecified"
"5 hydroxyindoleacetic_Acid","mg/24 h",5.2,"umol/d","urine"
"5 nucleotidase","units/L",0.01667,"ukat/L","unspecified"
"6B hydroxycortisol","ug/24 h",2.642,"nmol/d","unspecified"
"a1 antitrypsin","mg/dL",0.01,"g/L","unspecified"
"acetaminophen","ug/mL",6.62,"umol/L","serum"
"acetone","mg/dL",0.1722,"mmol/L","serum"
"acid phosphatase","nkat/L",16.6667,"U/L","unspecified"
"adrenocorticotropic hormone","pg/mL",0.2202,"pmol/L","unspecified"
"albumin","g/dL",10,"g/L","serum"
"aldosterone","ng/dL",0.0277,"nmol/L","serum"
"aluminum","ug/L",0.0371,"umol/L","serum"
"amikacin","ug/mL",1.71,"umol/L","serum"
"aminolevulinic acid","mg/24 h",7.626,"umol/d","urine"
"ammonia","ug/dL",0.5872,"umol/L","plasma"
"amniotic fluid","ug/mL",1,"mg/L","unspecified"
"amylase","nkat/L",16.6667,"U/L","serum"
"androstenedione","ng/dL",0.0349,"nmol/L","unspecified"
"angiotensin converting enzyme","units/L",1,"units/L","unspecified"
"antidiuretic hormone","pg/mL",1,"ng/L","unspecified"
"aresenic","ug/L",0.0133,"umol/L","blood"
"aspartate aminotransferase","units/L",0.02,"ukat/L","serum"
"bilirubin","mg/dL",17.1,"umol/L","serum"
"bromide","ug/mL",0.0125,"mmol/L","plasma"
"c peptide","ng/mL",0.331,"nmol/L","serum"
"cadmium","ug/L",8.897,"nmol/L","blood"
"caffeine","ug/mL",5.15,"umol/L","serum"
"calcitonin","pg/mL",0.2926,"pmol/L","serum"
"calcium","mg/dL",0.25,"mmol/L","serum"
"carbamazepine","ug/mL",4.2326,"umol/L","unspecified"
"carbon dioxide","mmol/L",1,"mEq/L","unspecified"
"carcinoembryonic antigen","ng/mL",1,"ug/L","unspecified"
"carotene","ug/dL",0.01863,"umol/L","serum"
"catecholamines","ug/24 h",5.91,"nmol/d","urine"
"ceruloplasmin","mg/dL",0.67,"umol/L","serum"
"chloramphenicol","ug/mL",3.09,"umol/L","serum"
"chlordiazepoxide","ug/mL",3.3,"umol/L","serum"
"chloride","mEq/L",1,"mmol/L","serum"
"cholesterol","mg/dL",0.02586,"mmol/L","unspecified"
"cholinesterase","units/L",1000,"kU/L","unspecified"
"chromium","ug/L",19.232,"nmol/L","unspecified"
"clonazepam ","ng/mL",3.167,"nmol/L","unspecified"
"codeine","ng/mL",3.34,"nmol/L","unspecified"
"complement c3 activator","mg/dL",10,"mg/L","unspecified"
"compound s","ug/dL",0.029,"umol/L","unspecified"
"copper","ug/L",0.0157,"umol/L","serum"
"coproporphyrins","ug/dL",15.7,"nmol/L","blood"
"corticosterone","ng/dL",0.02884,"nmol/L","unspecified"
"cortisol","ug/dL",27.588,"nmol/L","blood"
"cortisol binding globulin","mg/L",17.18,"nmol/L","unspecified"
"creatine kinase","units/L",0.0167,"ukat/L","unspecified"
"creatinine","mg/dL",88.4,"umol/L","serum"
"cyanide","ug/mL",38.4,"umol/L","blood"
